Show,IMDB ID,Genre,Season,Episode,Title,Air Date,Year,Rating,Votes2,First_Season_Average,Last_season_average
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,4,Litchfield's Got Talent,2017-06-09,2017,7.5,1800.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,5,"Sing It, White Effie",2017-06-09,2017,8.0,1800.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,6,"Flaming Hot Cheetos, Literally",2017-06-09,2017,7.7,1700.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,7,"Full Bush, Half Snickers",2017-06-09,2017,7.6,1700.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,8,Tied to the Tracks,2017-06-09,2017,7.9,1600.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,9,The Tightening,2017-06-09,2017,8.0,1700.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,10,The Reverse Midas Touch,2017-06-09,2017,8.4,1800.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,11,Breaking the Fiberboard Ceiling,2017-06-09,2017,7.7,1600.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,12,Tattoo You,2017-06-09,2017,8.0,1700.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",5,13,Storm-y Weather,2017-06-09,2017,8.9,2500.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,1,Who Knows Better Than I,2018-07-27,2018,7.2,1900.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,2,Sh*tstorm Coming,2018-07-27,2018,7.5,1500.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,3,Look Out for Number One,2018-07-27,2018,7.7,1500.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,4,I'm the Talking Ass,2018-07-27,2018,7.7,1500.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,5,Mischief Mischief,2018-07-27,2018,7.5,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,6,State of the Uterus,2018-07-27,2018,7.4,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,7,Changing Winds,2018-07-27,2018,7.6,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,8,Gordons,2018-07-27,2018,7.6,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,9,Break the String,2018-07-27,2018,7.7,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,10,Chocolate Chip Nookie,2018-07-27,2018,7.7,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,11,Well This Took a Dark Turn,2018-07-27,2018,8.0,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,12,Double Trouble,2018-07-27,2018,8.0,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",6,13,Be Free,2018-07-27,2018,8.7,2000.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,1,Beginning of the End,2019-07-26,2019,7.4,1600.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,2,Just Desserts,2019-07-26,2019,7.7,1500.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,3,And Brown Is the New Orange,2019-07-26,2019,7.9,1500.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,4,How to Do Life,2019-07-26,2019,8.2,1500.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,5,Minority Deport,2019-07-26,2019,8.0,1500.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,6,Trapped in an Elevator,2019-07-26,2019,8.0,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,7,Me as Well,2019-07-26,2019,7.7,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,8,Baker's Dozen,2019-07-26,2019,7.4,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,9,The Hidey Hole,2019-07-26,2019,8.0,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,10,The Thirteenth,2019-07-26,2019,8.0,1400.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,11,God Bless America,2019-07-26,2019,8.8,1800.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,12,The Big House,2019-07-26,2019,8.8,1700.0,8.0,8.1
Orange Is the New Black,tt2372162,"Prison Drama, Tragedy, Comedy, Crime, Drama",7,13,Here's Where We Get Off,2019-07-26,2019,9.1,2600.0,8.0,8.1
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",1,1,Fundraiser,2012-04-22,2012,7.2,2300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",1,2,Frozen Yoghurt,2012-04-29,2012,7.5,1900.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",1,3,Catherine,2012-05-06,2012,7.7,1700.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",1,4,Chung,2012-05-13,2012,7.7,1600.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",1,5,Nicknames,2012-05-20,2012,7.8,1600.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",1,6,Baseball,2012-05-27,2012,8.0,1600.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",1,7,Full Disclosure,2012-06-03,2012,7.7,1500.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",1,8,Tears,2012-06-10,2012,8.1,1500.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,1,Midterms,2013-04-14,2013,7.8,1400.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,2,Signals,2013-04-21,2013,7.9,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,3,Hostages,2013-04-28,2013,8.1,1400.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,4,The Vic Allen Dinner,2013-05-05,2013,7.9,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,5,Helsinki,2013-05-12,2013,8.5,1500.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,6,Andrew,2013-05-19,2013,7.9,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,7,Shutdown,2013-06-02,2013,7.6,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,8,First Response,2013-06-09,2013,8.0,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,9,Running,2013-06-16,2013,8.5,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",2,10,D.C.,2013-06-23,2013,8.7,1400.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,1,Some New Beginnings,2014-04-06,2014,8.0,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,2,The Choice,2014-04-13,2014,7.9,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,3,Alicia,2014-04-20,2014,8.3,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,4,Clovis,2014-04-27,2014,8.1,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,5,Fishing,2014-05-04,2014,8.0,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,6,Detroit,2014-05-11,2014,8.0,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,7,Special Relationship,2014-05-18,2014,8.3,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,8,Debate,2014-06-01,2014,8.7,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,9,Crate,2014-06-08,2014,8.8,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",3,10,New Hampshire,2014-06-08,2014,8.4,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,1,Joint Session,2015-04-12,2015,8.3,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,2,East Wing,2015-04-19,2015,8.2,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,3,Data,2015-04-26,2015,8.0,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,4,Tehran,2015-05-03,2015,8.1,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,5,Convention,2015-05-10,2015,8.7,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,6,Storms and Pancakes,2015-05-17,2015,7.8,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,7,Mommy Meyer,2015-05-24,2015,8.0,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,8,B/ill,2015-05-31,2015,8.3,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,9,Testimony,2015-06-07,2015,8.9,1500.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",4,10,Election Night,2015-06-14,2015,8.9,1400.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,1,Morning After,2016-04-24,2016,8.3,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,2,Nev-AD-a,2016-05-01,2016,8.1,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,3,The Eagle,2016-05-08,2016,8.2,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,4,Mother,2016-05-15,2016,9.0,1500.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,5,Thanksgiving,2016-05-22,2016,8.0,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,6,C**tgate,2016-05-29,2016,8.7,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,7,Congressional Ball,2016-06-05,2016,8.7,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,8,Camp David,2016-06-12,2016,8.7,1300.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,9,Kissing Your Sister,2016-06-19,2016,9.2,1600.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",5,10,Inauguration,2016-06-26,2016,8.6,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,1,Omaha,2017-04-16,2017,7.5,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,2,Library,2017-04-23,2017,7.9,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,3,Georgia,2017-04-30,2017,8.0,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,4,Justice,2017-05-07,2017,7.8,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,5,Chicklet,2017-05-14,2017,8.0,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,6,Qatar,2017-05-21,2017,7.8,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,7,Blurb,2017-05-28,2017,8.1,,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,8,Judge,2017-06-11,2017,7.8,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,9,A Woman First,2017-06-18,2017,8.2,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",6,10,Groundbreaking,2017-06-25,2017,8.4,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",7,1,Iowa,2019-03-31,2019,8.5,1200.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",7,2,Discovery Weekend,2019-04-07,2019,8.0,1100.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",7,3,Pledge,2019-04-14,2019,8.2,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",7,4,South Carolina,2019-04-21,2019,8.3,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",7,5,Super Tuesday,2019-04-28,2019,8.2,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",7,6,Oslo,2019-05-05,2019,8.4,1000.0,7.7,8.4
Veep,tt1759761,"Political Drama, Satire, Sitcom, Comedy",7,7,Veep,2019-05-12,2019,9.3,2300.0,7.7,8.4
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,1,Our Cup Runneth Over,2015-02-11,2015,7.0,3400.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,2,The Drip,2015-02-11,2015,7.2,2900.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,3,"Don't Worry, It's His Sister",2015-02-18,2015,7.5,2700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,4,Bad Parents,2015-02-25,2015,7.4,2500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,5,The Cabin,2015-03-04,2015,7.8,2500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,6,Wine and Roses,2015-03-11,2015,7.5,2400.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,7,Turkey Shoot,2015-03-18,2015,7.5,2300.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,8,Allez-Vous,2015-03-25,2015,7.2,2200.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,9,Carl's Funeral,2015-04-08,2015,7.5,2200.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,10,Honeymoon,2015-04-15,2015,7.9,2300.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,11,Little Sister,2015-04-22,2015,7.3,2100.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,12,Surprise Party,2015-04-29,2015,7.8,2100.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",1,13,Town for Sale,2015-05-06,2015,7.9,2100.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,1,Finding David,2016-03-16,2016,7.7,2100.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,2,Family Dinner,2016-03-16,2016,7.8,2000.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,3,Jazzagals,2016-01-19,2016,7.4,1900.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,4,Estate Sale,2016-01-26,2016,7.6,1900.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,5,Bob's Bagels,2016-02-02,2016,7.8,1900.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,6,Moira vs. Town Council,2016-02-09,2016,7.6,1900.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,7,The Candidate,2016-02-16,2016,7.5,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,8,Milk Money,2016-02-23,2016,8.0,1900.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,9,Moira's Nudes,2016-03-01,2016,8.1,1900.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,10,Ronnie's Party,2016-03-08,2016,7.6,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,11,The Motel Guest,2016-03-15,2016,7.7,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,12,Lawn Signs,2016-03-22,2016,7.9,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",2,13,Happy Anniversary,2016-03-29,2016,8.9,2800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,1,Opening Night,2017-01-10,2017,7.7,1900.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,2,The Throuple,2017-01-17,2017,7.8,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,3,New Car,2017-01-24,2017,8.1,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,4,Driving Test,2017-01-31,2017,7.7,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,5,Rooms by the Hour,2017-02-07,2017,7.8,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,6,Murder Mystery,2017-02-14,2017,7.5,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,7,General Store,2017-02-21,2017,7.6,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,8,Motel Review,2017-02-28,2017,7.9,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,9,The Affair,2017-03-07,2017,8.1,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,10,Sebastien Raine,2017-03-14,2017,7.4,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,11,Stop Saying Lice!,2017-03-22,2017,8.0,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,12,Friends & Family,2017-03-28,2017,8.4,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",3,13,Grad Night,2017-04-04,2017,8.9,2300.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,1,Dead Guy in Room 4,2018-01-09,2018,7.8,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,2,Pregnancy Test,2018-01-16,2018,8.0,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,3,Asbestos Fest,2018-01-23,2018,7.4,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,4,Girls' Night,2018-01-30,2018,7.7,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,5,RIP Moira Rose,2018-02-06,2018,8.1,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,6,Open Mic,2018-02-27,2018,8.8,2600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,7,The Barbecue,2018-03-06,2018,8.2,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,8,The Jazzaguy,2018-03-13,2018,8.0,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,9,The Olive Branch,2018-03-20,2018,8.5,2200.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,10,Baby Sprinkle,2018-03-27,2018,7.7,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,11,The Rollout,2018-04-03,2018,8.0,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,12,Singles Week,2018-04-10,2018,9.0,2300.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",4,13,"Merry Christmas, Johnny Rose",2018-12-19,2018,8.6,1800.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,1,The Crowening,2019-01-19,2019,7.9,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,2,Love Letters,2019-01-15,2019,7.8,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,3,The Plant,2019-01-22,2019,7.9,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,4,The Dress,2019-01-29,2019,7.7,1500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,5,Housewarming,2019-02-05,2019,8.3,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,6,Rock On!,2019-02-12,2019,7.7,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,7,A Whisper of Desire,2019-02-19,2019,7.7,1500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,8,The Hospies,2019-02-26,2019,8.1,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,9,The M.V.P.,2019-03-05,2019,8.2,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,10,Roadkill,2019-03-12,2019,7.4,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,11,Meet the Parents,2019-03-19,2019,9.1,2500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,12,The Roast,2019-03-26,2019,8.0,1500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,13,The Hike,2019-04-02,2019,8.9,2000.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",5,14,Life Is a Cabaret,2019-04-09,2019,9.1,2300.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,1,Smoke Signals,2020-01-07,2020,8.0,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,2,The Incident,2020-01-14,2020,8.2,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,3,The Job Interview,2020-01-21,2020,7.7,1500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,4,Maid of Honour,2020-01-28,2020,7.7,1500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,5,The Premiere,2020-02-04,2020,8.3,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,6,The Wingman,2020-02-11,2020,7.6,1500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,7,Moira Rosé,2020-02-18,2020,8.3,1600.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,8,The Presidential Suite,2020-02-25,2020,8.5,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,9,Rebound,2020-03-03,2020,7.8,1500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,10,"Sunrise, Sunset",2020-03-10,2020,8.1,1500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,11,The Bachelor Party,2020-03-17,2020,8.3,1500.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,12,The Pitch,2020-03-24,2020,8.7,1700.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,13,Start Spreading the News,2020-03-31,2020,9.2,2200.0,7.5,8.3
Schitt's Creek,tt3526078,"Satire, Sitcom, Comedy",6,14,Happy Ending,2020-04-07,2020,9.3,3000.0,7.5,8.3
BoJack Horseman,tt3398228,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",1,1,"BoJack Horseman: The BoJack Horseman Story, Chapter One",2014-08-22,2014,7.1,9400.0,7.8,8.8
BoJack Horseman,tt3398228,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",1,2,BoJack Hates the Troops,2014-08-22,2014,7.6,8400.0,7.8,8.8
BoJack Horseman,tt3398228,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",1,3,Prickly Muffin,2014-08-22,2014,7.3,7700.0,7.8,8.8
BoJack Horseman,tt3398228,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",1,4,Zoës and Zeldas,2014-08-22,2014,7.4,7400.0,7.8,8.8
BoJack Horseman,tt3398228,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",1,5,"Live Fast, Diane Nguyen",2014-08-22,2014,7.3,7100.0,7.8,8.8
BoJack Horseman,tt3398228,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",1,6,Our A-Story Is a 'D' Story,2014-08-22,2014,7.8,7200.0,7.8,8.8
BoJack Horseman,tt3398228,"Adult Animation, Dark Comedy, Psychological Drama, Satire, Showbiz Drama, Sitcom, Animation, Comedy, Drama",1,7,Say Anything,2014-08-22,2014,7.9,7200.0,7.8,8.8
