Show,IMDB ID,Genre,Season,Episode,Title,Air Date,Year,Rating,Votes
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,5,This Place Is Death,"Wed, Feb 11, 2009",2009,8.6,7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,6,316,"Wed, Feb 18, 2009",2009,8.4,6.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,7,The Life and Death of Jeremy Bentham,"Wed, Feb 25, 2009",2009,8.8,7.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,8,LaFleur,"Wed, Mar 4, 2009",2009,8.9,7.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,9,Namaste,"Wed, Mar 18, 2009",2009,8.4,6.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,10,He's Our You,"Wed, Mar 25, 2009",2009,8.3,6.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,11,"Whatever Happened, Happened","Wed, Apr 1, 2009",2009,8.1,6.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,12,Dead Is Dead,"Wed, Apr 8, 2009",2009,8.7,6.9K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,13,Some Like It Hoth,"Wed, Apr 15, 2009",2009,8.1,6.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,14,The Variable,"Wed, Apr 29, 2009",2009,8.7,7.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,15,Follow the Leader,"Wed, May 6, 2009",2009,8.5,6.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,16,The Incident: Part 1,"Wed, May 13, 2009",2009,9.1,8.8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",5,17,The Incident: Part 2,"Wed, May 13, 2009",2009,9.2,7.1K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,1,LA X: Part 1,"Tue, Feb 2, 2010",2010,8.6,7.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,2,LA X: Part 2,"Tue, Feb 2, 2010",2010,8.3,5.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,3,What Kate Does,"Tue, Feb 9, 2010",2010,7.5,6.7K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,4,The Substitute,"Tue, Feb 16, 2010",2010,8.2,6.4K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,5,Lighthouse,"Tue, Feb 23, 2010",2010,7.9,6.4K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,6,Sundown,"Tue, Mar 2, 2010",2010,7.9,6.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,7,Dr. Linus,"Tue, Mar 9, 2010",2010,8.4,6.5K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,8,Recon,"Tue, Mar 16, 2010",2010,7.7,6.3K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,9,Ab Aeterno,"Tue, Mar 23, 2010",2010,9.2,10K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,10,The Package,"Tue, Mar 30, 2010",2010,7.7,6.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,11,Happily Ever After,"Tue, Apr 6, 2010",2010,8.8,7.6K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,12,Everybody Loves Hugo,"Tue, Apr 13, 2010",2010,8.3,6.3K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,13,The Last Recruit,"Tue, Apr 20, 2010",2010,8.0,6.3K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,14,The Candidate,"Tue, May 4, 2010",2010,8.9,8.1K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,15,Across the Sea,"Tue, May 11, 2010",2010,8.2,8K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,16,What They Died For,"Tue, May 18, 2010",2010,8.5,7.2K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,17,The End: Part 1,"Sun, May 23, 2010",2010,8.4,14K
Lost,tt0411008,"Adventure Epic, Psychological Drama, Survival, Suspense Mystery, Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller",6,18,The End: Part 2,"Sun, May 23, 2010",2010,9.1,7.3K
24,tt0285331,"Cop Drama, One-Person Army Action, Police Procedural, Political Thriller, Psychological Thriller, Action, Crime, Drama, Thriller",1,1,12:00 a.m.-1:00 a.m.,"Tue, Nov 6, 2001",2001,8.2,3.6K
24,tt0285331,"Cop Drama, One-Person Army Action, Police Procedural, Political Thriller, Psychological Thriller, Action, Crime, Drama, Thriller",1,2,1:00 a.m.-2:00 a.m.,"Tue, Nov 13, 2001",2001,8.2,2.8K
24,tt0285331,"Cop Drama, One-Person Army Action, Police Procedural, Political Thriller, Psychological Thriller, Action, Crime, Drama, Thriller",1,3,2:00 a.m.-3:00 a.m.,"Tue, Nov 20, 2001",2001,8.1,2.6K
